,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,midrich_jobs,selected_centers
954,3044,570401.664334,0,3044.0,2255.51,13.0082,2234.52,953.907,2.565918508120726,False
955,3045,354061.826012,0,3045.0,2702.29,58.4397,3968.53,765.085,17.961429556845083,False
956,3046,336104.428818,0,3046.0,803.864,223.938,1003.05,295.265,12.82959254060363,False
957,3047,430346.801509,0,3047.0,1743.01,1571.87,2500.15,474.32,168.06766228190753,False
958,3048,266272.076104,0,3048.0,1442.53,674.094,2101.97,272.001,19.244388810905445,False
959,3049,126871.108171,0,3049.0,204.854,759.804,237.82,750.653,133.42776242227774,False
960,3050,129901.656931,0,3050.0,347.967,70.9733,419.365,71.3012,16.678470302784717,False
961,3051,138004.946525,0,3051.0,228.545,256.94,324.149,239.93,57.73316643271633,False
962,3052,302842.760194,0,3052.0,1406.33,351.422,2026.04,395.784,16.678470302784717,False
963,3053,246887.961071,0,3053.0,175.0,1410.97,268.194,567.315,50.03541090835415,False
964,3054,302938.157178,0,3054.0,1763.23,611.485,3031.3,505.979,12.82959254060363,False
965,3055,382468.503925,0,3055.0,902.196,646.274,1182.04,281.637,16.678470302784717,False
966,3056,303231.332907,0,3056.0,865.809,1240.79,1292.13,332.726,98.78786256264794,False
967,3057,246659.165313,0,3057.0,796.082,411.186,1021.95,225.15,47.46949240023343,False
968,3058,255967.717347,0,3058.0,1280.12,750.848,1874.84,235.441,15.395511048724355,False
969,3059,269669.445685,0,3059.0,588.029,2117.23,996.558,324.3,43.620614638052345,True
970,3060,239163.392887,0,3060.0,896.368,446.52,1539.85,258.773,11.546633286543265,False
971,3061,253832.480732,0,3061.0,852.505,628.662,1578.28,321.603,21.810307319026172,False
972,3062,199159.199874,0,3062.0,450.128,195.294,591.467,151.18,8.980714778422541,False
973,3075,329817.385777,0,3075.0,484.538,50.8326,722.113,52.5104,11.546633286543265,False
974,3076,314636.178822,0,3076.0,1062.06,615.308,2653.66,399.748,55.16724792459561,False
975,3077,131491.664395,0,3077.0,621.229,11.9133,902.672,13.4333,3.848877762181089,False
976,3078,249769.208113,0,3078.0,1353.24,409.44,2343.62,591.667,14.112551794663991,False
977,3079,352096.777592,0,3079.0,1098.69,401.466,2010.68,513.905,8.980714778422541,False
978,3080,198597.663678,0,3080.0,478.059,624.755,615.128,239.532,10.263674032482903,False
979,3081,158997.487654,0,3081.0,805.596,25.2045,993.433,25.5474,6.414796270301815,False
980,3082,253627.685597,0,3082.0,539.23,622.527,718.988,279.371,101.35378107076866,False
981,3083,260509.278017,0,3083.0,982.478,9.49073,1164.53,9.60043,1.282959254060363,False
982,3084,320782.739553,0,3084.0,1584.14,7.88131,1556.04,316.005,2.565918508120726,False
983,3085,223145.485566,0,3085.0,559.153,74.3516,692.355,75.0557,14.112551794663991,False
984,3086,348024.639964,0,3086.0,1237.41,2.53661,1523.89,2.55884,0.0,False
985,3101,1723547.75484,0,3101.0,1694.53,150.091,2243.44,1373.2,33.356940605569434,False
