,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,jobs_total,selected_centers
342,3865,4974248.04585,0,3865.0,261.619,48.4531,309.671,49.1748,33.5183354210496,False
343,3866,660170.862025,0,3866.0,0.0,0.0,0.0,0.0,0.0,False
344,3867,1002250.56199,0,3867.0,0.0,0.0,0.0,0.0,0.0,False
345,3868,724348.145907,0,3868.0,280.008,115.496,334.599,114.514,77.0492972474539,False
346,3869,50017.9857898,0,3869.0,0.0,0.0,0.0,0.0,0.0,False
347,3870,6951182.09138,0,3870.0,406.278,88.8727,482.067,89.8054,94.07894146077881,False
348,3871,4885934.28134,0,3871.0,34.7769,263.816,40.3422,266.642,170.23878293203637,False
349,3872,531921.9676,0,3872.0,400.742,0.0,469.595,0.0,0.0,False
350,3873,154280.185279,0,3873.0,248.106,0.0,290.773,0.0,0.0,False
351,3874,421625.935406,0,3874.0,0.0,0.0,0.0,0.0,0.0,False
352,3875,458009.984382,0,3875.0,0.0,0.0,0.0,0.0,0.0,False
353,3876,2656593.95161,0,3876.0,361.852,0.0,424.219,0.0,0.0,False
354,3877,8645390.81991,0,3877.0,350.994,0.0,411.371,0.0,0.0,False
355,3878,693846.468366,0,3878.0,994.429,0.0,1165.49,0.0,0.0,False
356,3879,630746.184008,0,3879.0,0.0,0.0,0.0,0.0,0.0,False
357,3880,771163.266977,0,3880.0,0.0,0.0,0.0,0.0,0.0,False
358,3881,102633.897831,0,3881.0,166.736,0.0,195.413,0.0,0.0,False
359,3882,13683329.5393,0,3882.0,0.0,0.0,0.0,0.0,0.0,False
360,1801,1464669.24013,0,1801.0,1061.02,158.318,1720.78,180.477,125.4764288998324,False
361,1802,993460.423366,0,1802.0,264.761,146.151,1607.93,209.514,110.20850399861223,False
362,1803,706256.707688,0,1803.0,634.807,318.938,897.988,323.388,238.66209607916144,False
363,1804,836716.869683,0,1804.0,495.817,123.759,705.479,124.836,97.0246364496614,False
364,1805,693844.02483,0,1805.0,367.769,31.2293,466.193,31.4908,24.784678508219407,False
365,1806,719628.368729,0,1806.0,1974.86,106.828,3036.37,111.338,76.0605577217257,False
366,1807,1126723.87331,0,1807.0,1811.99,220.184,1928.53,553.451,182.67477218027463,False
367,1808,557203.452211,0,1808.0,124.338,936.437,151.645,929.631,587.0289811686822,False
368,1809,338611.119026,0,1809.0,378.373,19.4544,537.356,23.4023,16.271412953554375,False
369,1810,1986526.36899,0,1810.0,294.401,17.0048,1576.91,54.9106,14.097195093943032,False
370,1811,632947.865317,0,1811.0,1174.69,7.94976,1422.2,7.95087,7.193925243570899,False
371,1812,599657.531644,0,1812.0,603.252,767.547,738.143,682.354,693.6483748252625,False
372,1813,596656.698153,0,1813.0,964.761,496.764,1189.7,419.223,497.88642955920557,False
373,1814,631952.501236,0,1814.0,579.483,571.345,1341.69,310.803,289.7352973221515,False
374,1815,749222.391347,0,1815.0,473.908,13.1548,528.29,13.6698,10.365065541081217,False
375,1816,551163.305525,0,1816.0,205.842,53.7443,235.656,51.206,47.75876661178782,False
376,3301,1661892.81449,0,3301.0,3253.23,2573.49,4204.33,1006.98,1278.3805109151037,True
377,3302,1000215.93977,0,3302.0,543.021,602.402,761.372,4673.91,280.7493877882429,False
378,3303,1819422.87977,0,3303.0,0.0,40.9584,11.0861,33.5517,24.435573118545648,False
379,3304,419939.232008,0,3304.0,293.221,27.4884,490.587,29.1269,22.759071152425065,False
380,3305,821783.838787,0,3305.0,0.0,4.89583,585.547,70.0474,3.4650285906760363,False
381,3306,2542039.86963,0,3306.0,5604.92,390.561,5610.13,5405.75,334.5642092442512,False
382,3307,561220.549817,0,3307.0,316.036,0.0,400.048,0.0,0.0,False
383,3308,8240186.08518,0,3308.0,454.508,4.71115,538.721,4.76996,2.4648732528101105,False
384,3309,7019635.47592,0,3309.0,0.0,1.64633,462.328,7.45589,0.8216244176033701,False
385,3310,791254.698542,0,3310.0,0.0,0.0,0.0,10561.2,0.0,False
386,3311,404757.13464,0,3311.0,0.0,0.0,0.0,0.0,0.0,False
387,3312,901969.203262,0,3312.0,0.0,0.562267,0.0,401.52,0.2638680622188261,False
388,3313,2060768.91919,0,3313.0,334.839,0.158781,2692.46,11961.6,0.0,False
389,3314,594325.444117,0,3314.0,0.0,3.88859,807.764,91.9166,2.9072722352914924,False
390,3315,13048410.4898,0,3315.0,0.0,0.0,0.0,0.0,0.0,False
391,3401,434108.982665,0,3401.0,393.196,2.03498,1122.42,2383.81,1.1155127107690879,False
392,3402,394796.389383,0,3402.0,2290.45,75.4015,2187.13,1149.95,73.20424573722961,False
393,3403,143203.049817,0,3403.0,1053.11,26.3188,1547.82,30.6066,23.70241892836416,False
394,3404,247007.955471,0,3404.0,336.804,468.06,651.557,477.348,322.02229381034715,False
395,3405,381496.136579,0,3405.0,3648.8,38.1255,4528.98,962.014,29.627445437335204,False
396,3406,511151.09556,0,3406.0,3104.25,0.854054,3710.55,616.138,0.5577563553845439,False
397,3407,291260.510518,0,3407.0,1725.93,1.12512,1584.74,249.024,0.5277361244376522,False
398,3408,220852.630928,0,3408.0,2354.78,0.0,2364.54,688.25,0.0,False
399,3409,1612496.01276,0,3409.0,0.0,0.0,0.0,0.0,0.0,False
400,3812,2274972.98135,0,3812.0,0.0,148.829,0.0,149.951,60.427336098680286,False
401,3813,628496.239991,0,3813.0,2516.19,22.0791,2420.69,387.129,12.931084899291587,False
402,3814,942576.501093,0,3814.0,182.669,509.325,212.135,506.917,293.3297575294828,False
403,3815,957447.197266,0,3815.0,2523.27,0.0,2429.34,363.815,0.0,False
404,3816,10217069.7829,0,3816.0,116.187,319.111,134.644,322.607,183.06923525947894,False
405,3817,9731023.89504,0,3817.0,1179.4,282.355,1397.15,288.451,251.8542728642429,False
406,3818,199660.492842,0,3818.0,170.72,913.711,198.061,903.335,913.6809394587983,False
407,3819,301149.679804,0,3819.0,0.0,0.0,0.0,0.0,0.0,False
408,3820,972370.776408,0,3820.0,70.7781,200.979,82.0251,201.903,95.2243873535339,False
409,3821,693503.295255,0,3821.0,0.0,1160.68,0.0,1174.07,809.0995644448932,False
410,3822,188725.460263,0,3822.0,0.0,0.0,0.0,0.0,0.0,False
411,3823,428237.10733,0,3823.0,275.318,10.8814,322.86,11.4094,14.847431716265792,False
412,3824,497350.402034,0,3824.0,0.0,823.293,0.0,827.095,723.8469821029178,False
413,3825,277147.001084,0,3825.0,0.0,128.977,0.0,129.859,100.2140617410061,False
414,3826,106182.536914,0,3826.0,120.891,68.3803,141.79,64.5172,68.45042193964531,False
